,created_date,count
0,2018-08-01,7279
1,2018-08-02,7267
2,2018-08-03,6883
3,2018-08-04,6380
4,2018-08-05,6935
5,2018-08-06,7410
6,2018-08-07,7319
7,2018-08-08,6662
8,2018-08-09,7033
9,2018-08-10,7633
10,2018-08-11,7319
11,2018-08-12,7314
12,2018-08-13,7740
13,2018-08-14,9288
14,2018-08-15,9104
15,2018-08-16,9893
16,2018-08-17,9900
17,2018-08-18,10176
18,2018-08-19,10303
19,2018-08-20,10314
20,2018-08-21,9814
21,2018-08-22,10220
22,2018-08-23,9791
23,2018-08-24,9917
24,2018-08-25,9313
25,2018-08-26,9012
26,2018-08-27,9514
27,2018-08-28,9048
28,2018-08-29,8854
29,2018-08-30,9215
30,2018-08-31,8229
